"line";"subline";"station_id";"direction";"arrivetime";"lefttime";"orig_station_id";"dest_station_id";"train_id";"express_yn"
2;0;"사당";"CCW";"05:34:00";"05:35:00";"서울대입구";"성수";2003;"N"
2;0;"사당";"CCW";"05:47:00";"05:48:00";"신도림";"성수";2005;"N"
2;0;"사당";"CCW";"05:53:00";"05:54:00";"신도림";"성수";2007;"N"
2;0;"사당";"CCW";"05:59:00";"06:00:00";"홍대입구";"성수";2009;"N"
2;0;"사당";"CCW";"06:05:00";"06:06:00";"신도림";"성수";2011;"N"
2;0;"사당";"CCW";"06:10:30";"06:11:30";"을지로입구";"성수";2013;"N"
2;0;"사당";"CCW";"06:16:00";"06:17:00";"신도림";"성수";2015;"N"
2;0;"사당";"CCW";"06:21:00";"06:22:00";"신도림";"성수";2017;"N"
2;0;"사당";"CCW";"06:26:30";"06:27:30";"성수";"성수";2019;"N"
2;0;"사당";"CCW";"06:31:00";"06:32:00";"신도림";"성수";2021;"N"
2;0;"사당";"CCW";"06:35:30";"06:36:30";"성수";"성수";2023;"N"
2;0;"사당";"CCW";"06:40:00";"06:41:00";"신도림";"성수";2025;"N"
2;0;"사당";"CCW";"06:45:30";"06:46:30";"성수";"성수";2027;"N"
2;0;"사당";"CCW";"06:50:00";"06:51:00";"신도림";"성수";2029;"N"
2;0;"사당";"CCW";"06:55:00";"06:56:00";"성수";"성수";2031;"N"
2;0;"사당";"CCW";"07:00:00";"07:01:00";"신도림";"성수";2033;"N"
2;0;"사당";"CCW";"07:05:00";"07:06:00";"성수";"성수";2035;"N"
2;0;"사당";"CCW";"07:10:00";"07:11:00";"신도림";"성수";2037;"N"
2;0;"사당";"CCW";"07:14:00";"07:15:00";"성수";"성수";2039;"N"
2;0;"사당";"CCW";"07:20:00";"07:21:00";"성수";"성수";2041;"N"
2;0;"사당";"CCW";"07:24:00";"07:25:00";"성수";"성수";2043;"N"
2;0;"사당";"CCW";"07:27:00";"07:28:00";"신도림";"성수";2045;"N"
2;0;"사당";"CCW";"07:30:00";"07:31:00";"성수";"성수";2047;"N"
2;0;"사당";"CCW";"07:33:00";"07:34:00";"성수";"성수";2049;"N"
2;0;"사당";"CCW";"07:36:00";"07:37:00";"성수";"성수";2051;"N"
2;0;"사당";"CCW";"07:38:30";"07:39:30";"신도림";"성수";2053;"N"
2;0;"사당";"CCW";"07:41:30";"07:42:30";"성수";"성수";2055;"N"
2;0;"사당";"CCW";"07:44:30";"07:45:30";"성수";"성수";2057;"N"
2;0;"사당";"CCW";"07:47:30";"07:48:30";"성수";"성수";2059;"N"
2;0;"사당";"CCW";"07:50:30";"07:51:30";"신도림";"성수";2061;"N"
2;0;"사당";"CCW";"07:53:00";"07:54:00";"성수";"성수";2063;"N"
2;0;"사당";"CCW";"07:55:30";"07:56:30";"신도림";"성수";2065;"N"
2;0;"사당";"CCW";"07:58:00";"07:59:00";"성수";"성수";2067;"N"
2;0;"사당";"CCW";"08:00:30";"08:01:30";"신도림";"성수";2069;"N"
2;0;"사당";"CCW";"08:03:00";"08:04:00";"성수";"성수";2071;"N"
2;0;"사당";"CCW";"08:05:30";"08:06:30";"신도림";"성수";2073;"N"
2;0;"사당";"CCW";"08:08:00";"08:09:00";"성수";"성수";2075;"N"
2;0;"사당";"CCW";"08:10:30";"08:11:30";"신도림";"성수";2077;"N"
2;0;"사당";"CCW";"08:13:00";"08:14:00";"성수";"성수";2079;"N"
2;0;"사당";"CCW";"08:15:30";"08:16:30";"신도림";"성수";2081;"N"
2;0;"사당";"CCW";"08:18:00";"08:19:00";"성수";"성수";2083;"N"
2;0;"사당";"CCW";"08:23:00";"08:24:00";"성수";"성수";2087;"N"
2;0;"사당";"CCW";"08:25:30";"08:26:30";"신도림";"성수";2089;"N"
2;0;"사당";"CCW";"08:28:00";"08:29:00";"성수";"성수";2091;"N"
2;0;"사당";"CCW";"08:30:30";"08:31:30";"신도림";"성수";2093;"N"
2;0;"사당";"CCW";"08:33:00";"08:34:00";"성수";"성수";2095;"N"
2;0;"사당";"CCW";"08:38:00";"08:39:00";"성수";"성수";2097;"N"
2;0;"사당";"CCW";"08:40:30";"08:41:30";"성수";"성수";2099;"N"
2;0;"사당";"CCW";"08:43:30";"08:44:30";"성수";"성수";2101;"N"
2;0;"사당";"CCW";"08:47:00";"08:48:00";"성수";"성수";2103;"N"
2;0;"사당";"CCW";"08:49:30";"08:50:30";"성수";"성수";2105;"N"
2;0;"사당";"CCW";"08:53:00";"08:54:00";"성수";"성수";2107;"N"
2;0;"사당";"CCW";"08:57:00";"08:58:00";"성수";"성수";2109;"N"
2;0;"사당";"CCW";"09:00:00";"09:01:00";"성수";"성수";2111;"N"
2;0;"사당";"CCW";"09:03:00";"09:04:00";"성수";"성수";2113;"N"
2;0;"사당";"CCW";"09:05:30";"09:06:30";"성수";"성수";2115;"N"
2;0;"사당";"CCW";"09:08:30";"09:09:30";"성수";"성수";2117;"N"
2;0;"사당";"CCW";"09:11:00";"09:12:00";"성수";"성수";2119;"N"
2;0;"사당";"CCW";"09:14:00";"09:15:00";"성수";"성수";2121;"N"
2;0;"사당";"CCW";"09:17:00";"09:18:00";"성수";"성수";2123;"N"
2;0;"사당";"CCW";"09:22:30";"09:23:30";"성수";"성수";2127;"N"
2;0;"사당";"CCW";"09:25:30";"09:26:30";"성수";"성수";2129;"N"
2;0;"사당";"CCW";"09:28:00";"09:29:00";"성수";"성수";2131;"N"
2;0;"사당";"CCW";"09:30:30";"09:31:30";"성수";"성수";2133;"N"
2;0;"사당";"CCW";"09:33:00";"09:34:00";"성수";"성수";2135;"N"
2;0;"사당";"CCW";"09:38:00";"09:39:00";"성수";"성수";2139;"N"
2;0;"사당";"CCW";"09:40:00";"09:41:00";"성수";"성수";2141;"N"
2;0;"사당";"CCW";"09:42:00";"09:43:00";"성수";"성수";2143;"N"
2;0;"사당";"CCW";"09:44:30";"09:45:30";"성수";"성수";2145;"N"
2;0;"사당";"CCW";"09:47:00";"09:48:00";"성수";"성수";2147;"N"
2;0;"사당";"CCW";"09:49:30";"09:50:30";"성수";"성수";2149;"N"
2;0;"사당";"CCW";"09:57:00";"09:58:00";"성수";"성수";2155;"N"
2;0;"사당";"CCW";"10:02:00";"10:03:00";"성수";"성수";2157;"N"
2;0;"사당";"CCW";"10:06:00";"10:07:00";"성수";"성수";2159;"N"
2;0;"사당";"CCW";"10:09:30";"10:10:30";"성수";"성수";2161;"N"
2;0;"사당";"CCW";"10:12:00";"10:13:00";"성수";"성수";2163;"N"
2;0;"사당";"CCW";"10:17:30";"10:18:30";"성수";"성수";2167;"N"
2;0;"사당";"CCW";"10:20:00";"10:21:00";"성수";"성수";2169;"N"
2;0;"사당";"CCW";"10:26:30";"10:27:30";"성수";"성수";2173;"N"
2;0;"사당";"CCW";"10:30:30";"10:31:30";"성수";"성수";2175;"N"
2;0;"사당";"CCW";"10:35:30";"10:36:30";"성수";"성수";2177;"N"
2;0;"사당";"CCW";"10:41:00";"10:42:00";"성수";"성수";2181;"N"
2;0;"사당";"CCW";"10:47:00";"10:48:00";"성수";"성수";2183;"N"
2;0;"사당";"CCW";"10:52:30";"10:53:30";"성수";"성수";2185;"N"
2;0;"사당";"CCW";"10:58:00";"10:59:00";"성수";"성수";2189;"N"
2;0;"사당";"CCW";"11:03:00";"11:04:00";"성수";"성수";2191;"N"
2;0;"사당";"CCW";"11:07:30";"11:08:30";"성수";"성수";2193;"N"
2;0;"사당";"CCW";"11:12:30";"11:13:30";"성수";"성수";2195;"N"
2;0;"사당";"CCW";"11:17:30";"11:18:30";"성수";"성수";2199;"N"
2;0;"사당";"CCW";"11:27:30";"11:28:30";"성수";"성수";2203;"N"
2;0;"사당";"CCW";"11:32:30";"11:33:30";"성수";"성수";2205;"N"
2;0;"사당";"CCW";"11:37:00";"11:38:00";"성수";"성수";2207;"N"
2;0;"사당";"CCW";"11:42:30";"11:43:30";"성수";"성수";2209;"N"
2;0;"사당";"CCW";"11:48:00";"11:49:00";"성수";"성수";2211;"N"
2;0;"사당";"CCW";"11:55:00";"11:56:00";"성수";"성수";2213;"N"
2;0;"사당";"CCW";"12:00:30";"12:01:30";"성수";"성수";2215;"N"
2;0;"사당";"CCW";"12:05:30";"12:06:30";"성수";"성수";2217;"N"
2;0;"사당";"CCW";"12:11:30";"12:12:30";"성수";"성수";2219;"N"
2;0;"사당";"CCW";"12:17:30";"12:18:30";"성수";"성수";2221;"N"
2;0;"사당";"CCW";"12:22:30";"12:23:30";"성수";"성수";2223;"N"
2;0;"사당";"CCW";"12:28:30";"12:29:30";"성수";"성수";2225;"N"
2;0;"사당";"CCW";"12:33:30";"12:34:30";"성수";"성수";2227;"N"
2;0;"사당";"CCW";"12:38:30";"12:39:30";"성수";"성수";2229;"N"
2;0;"사당";"CCW";"12:43:30";"12:44:30";"성수";"성수";2231;"N"
2;0;"사당";"CCW";"12:48:30";"12:49:30";"성수";"성수";2233;"N"
2;0;"사당";"CCW";"12:58:30";"12:59:30";"성수";"성수";2237;"N"
2;0;"사당";"CCW";"13:03:30";"13:04:30";"성수";"성수";2239;"N"
2;0;"사당";"CCW";"13:08:30";"13:09:30";"성수";"성수";2241;"N"
2;0;"사당";"CCW";"13:13:30";"13:14:30";"성수";"성수";2243;"N"
2;0;"사당";"CCW";"13:18:30";"13:19:30";"성수";"성수";2245;"N"
2;0;"사당";"CCW";"13:24:30";"13:25:30";"성수";"성수";2247;"N"
2;0;"사당";"CCW";"13:30:30";"13:31:30";"성수";"성수";2249;"N"
2;0;"사당";"CCW";"13:35:30";"13:36:30";"성수";"성수";2251;"N"
2;0;"사당";"CCW";"13:41:30";"13:42:30";"성수";"성수";2253;"N"
2;0;"사당";"CCW";"13:47:30";"13:48:30";"성수";"성수";2255;"N"
2;0;"사당";"CCW";"13:53:30";"13:54:30";"성수";"성수";2257;"N"
2;0;"사당";"CCW";"13:58:30";"13:59:30";"성수";"성수";2259;"N"
2;0;"사당";"CCW";"14:03:30";"14:04:30";"성수";"성수";2261;"N"
2;0;"사당";"CCW";"14:08:30";"14:09:30";"성수";"성수";2263;"N"
2;0;"사당";"CCW";"14:13:30";"14:14:30";"성수";"성수";2265;"N"
2;0;"사당";"CCW";"14:18:30";"14:19:30";"성수";"성수";2267;"N"
2;0;"사당";"CCW";"14:28:30";"14:29:30";"성수";"성수";2271;"N"
2;0;"사당";"CCW";"14:33:30";"14:34:30";"성수";"성수";2273;"N"
2;0;"사당";"CCW";"14:38:30";"14:39:30";"성수";"성수";2275;"N"
2;0;"사당";"CCW";"14:43:30";"14:44:30";"성수";"성수";2277;"N"
2;0;"사당";"CCW";"14:48:30";"14:49:30";"성수";"성수";2279;"N"
2;0;"사당";"CCW";"14:54:30";"14:55:30";"성수";"성수";2281;"N"
2;0;"사당";"CCW";"15:00:30";"15:01:30";"성수";"성수";2283;"N"
2;0;"사당";"CCW";"15:05:30";"15:06:30";"성수";"성수";2285;"N"
2;0;"사당";"CCW";"15:11:30";"15:12:30";"성수";"성수";2287;"N"
2;0;"사당";"CCW";"15:17:30";"15:18:30";"성수";"성수";2289;"N"
2;0;"사당";"CCW";"15:23:30";"15:24:30";"성수";"성수";2291;"N"
2;0;"사당";"CCW";"15:28:30";"15:29:30";"성수";"성수";2293;"N"
2;0;"사당";"CCW";"15:33:30";"15:34:30";"성수";"성수";2295;"N"
2;0;"사당";"CCW";"15:38:00";"15:39:00";"성수";"성수";2297;"N"
2;0;"사당";"CCW";"15:43:30";"15:44:30";"성수";"성수";2299;"N"
2;0;"사당";"CCW";"15:48:30";"15:49:30";"성수";"성수";2301;"N"
2;0;"사당";"CCW";"15:58:00";"15:59:00";"성수";"성수";2305;"N"
2;0;"사당";"CCW";"16:03:30";"16:04:30";"성수";"성수";2307;"N"
2;0;"사당";"CCW";"16:08:30";"16:09:30";"성수";"성수";2309;"N"
2;0;"사당";"CCW";"16:13:00";"16:14:00";"성수";"성수";2311;"N"
2;0;"사당";"CCW";"16:19:00";"16:20:00";"성수";"성수";2313;"N"
2;0;"사당";"CCW";"16:24:00";"16:25:00";"성수";"성수";2315;"N"
2;0;"사당";"CCW";"16:30:30";"16:31:30";"성수";"성수";2317;"N"
2;0;"사당";"CCW";"16:35:30";"16:36:30";"성수";"성수";2319;"N"
2;0;"사당";"CCW";"16:41:30";"16:42:30";"성수";"성수";2321;"N"
2;0;"사당";"CCW";"16:47:30";"16:48:30";"성수";"성수";2323;"N"
2;0;"사당";"CCW";"16:50:30";"16:51:30";"신도";"성수";2325;"N"
2;0;"사당";"CCW";"16:53:30";"16:54:30";"성수";"성수";2327;"N"
2;0;"사당";"CCW";"16:59:00";"17:00:00";"성수";"성수";2329;"N"
2;0;"사당";"CCW";"17:03:30";"17:04:30";"성수";"성수";2331;"N"
2;0;"사당";"CCW";"17:07:30";"17:08:30";"성수";"성수";2333;"N"
2;0;"사당";"CCW";"17:11:00";"17:12:00";"성수";"성수";2335;"N"
2;0;"사당";"CCW";"17:14:30";"17:15:30";"성수";"성수";2337;"N"
2;0;"사당";"CCW";"17:18:30";"17:19:30";"성수";"성수";2339;"N"
2;0;"사당";"CCW";"17:23:30";"17:24:30";"성수";"신도림";2341;"N"
2;0;"사당";"CCW";"17:27:30";"17:28:30";"성수";"성수";2343;"N"
2;0;"사당";"CCW";"17:31:00";"17:32:00";"성수";"성수";2345;"N"
2;0;"사당";"CCW";"17:34:30";"17:35:30";"성수";"성수";2347;"N"
2;0;"사당";"CCW";"17:38:30";"17:39:30";"성수";"성수";2349;"N"
2;0;"사당";"CCW";"17:42:30";"17:43:30";"성수";"성수";2351;"N"
2;0;"사당";"CCW";"17:46:30";"17:47:30";"신도";"성수";2353;"N"
2;0;"사당";"CCW";"17:49:30";"17:50:30";"성수";"성수";2355;"N"
2;0;"사당";"CCW";"17:53:30";"17:54:30";"성수";"성수";2357;"N"
2;0;"사당";"CCW";"17:57:30";"17:58:30";"성수";"성수";2359;"N"
2;0;"사당";"CCW";"18:01:30";"18:02:30";"성수";"성수";2361;"N"
2;0;"사당";"CCW";"18:05:30";"18:06:30";"성수";"성수";2363;"N"
2;0;"사당";"CCW";"18:08:30";"18:09:30";"성수";"성수";2365;"N"
2;0;"사당";"CCW";"18:11:30";"18:12:30";"성수";"성수";2367;"N"
2;0;"사당";"CCW";"18:14:30";"18:15:30";"신도";"성수";2369;"N"
2;0;"사당";"CCW";"18:17:30";"18:18:30";"성수";"성수";2371;"N"
2;0;"사당";"CCW";"18:20:30";"18:21:30";"성수";"성수";2373;"N"
2;0;"사당";"CCW";"18:23:30";"18:24:30";"성수";"성수";2375;"N"
2;0;"사당";"CCW";"18:26:30";"18:27:30";"성수";"성수";2377;"N"
2;0;"사당";"CCW";"18:29:30";"18:30:30";"성수";"성수";2379;"N"
2;0;"사당";"CCW";"18:33:30";"18:34:30";"성수";"성수";2381;"N"
2;0;"사당";"CCW";"18:37:30";"18:38:30";"성수";"성수";2383;"N"
2;0;"사당";"CCW";"18:41:00";"18:42:00";"성수";"성수";2385;"N"
2;0;"사당";"CCW";"18:44:30";"18:45:30";"성수";"성수";2387;"N"
2;0;"사당";"CCW";"18:48:30";"18:49:30";"성수";"성수";2389;"N"
2;0;"사당";"CCW";"18:53:30";"18:54:30";"성수";"성수";2391;"N"
2;0;"사당";"CCW";"18:57:30";"18:58:30";"성수";"성수";2393;"N"
2;0;"사당";"CCW";"19:01:00";"19:02:00";"성수";"성수";2395;"N"
2;0;"사당";"CCW";"19:04:30";"19:05:30";"성수";"성수";2397;"N"
2;0;"사당";"CCW";"19:08:30";"19:09:30";"성수";"성수";2399;"N"
2;0;"사당";"CCW";"19:12:30";"19:13:30";"성수";"성수";2401;"N"
2;0;"사당";"CCW";"19:16:30";"19:17:30";"성수";"성수";2403;"N"
2;0;"사당";"CCW";"19:19:30";"19:20:30";"성수";"성수";2405;"N"
2;0;"사당";"CCW";"19:23:00";"19:24:00";"성수";"성수";2407;"N"
2;0;"사당";"CCW";"19:27:30";"19:28:30";"성수";"성수";2409;"N"
2;0;"사당";"CCW";"19:31:30";"19:32:30";"성수";"성수";2411;"N"
2;0;"사당";"CCW";"19:35:30";"19:36:30";"성수";"성수";2413;"N"
2;0;"사당";"CCW";"19:38:30";"19:39:30";"성수";"성수";2415;"N"
2;0;"사당";"CCW";"19:44:30";"19:45:30";"성수";"성수";2419;"N"
2;0;"사당";"CCW";"19:47:30";"19:48:30";"성수";"성수";2421;"N"
2;0;"사당";"CCW";"19:50:30";"19:51:30";"성수";"성수";2423;"N"
2;0;"사당";"CCW";"19:56:30";"19:57:30";"성수";"성수";2427;"N"
2;0;"사당";"CCW";"20:00:00";"20:01:00";"성수";"성수";2429;"N"
2;0;"사당";"CCW";"20:07:30";"20:08:30";"성수";"성수";2433;"N"
2;0;"사당";"CCW";"20:11:00";"20:12:00";"성수";"성수";2435;"N"
2;0;"사당";"CCW";"20:18:30";"20:19:30";"성수";"성수";2439;"N"
2;0;"사당";"CCW";"20:23:30";"20:24:30";"성수";"성수";2441;"N"
2;0;"사당";"CCW";"20:27:30";"20:28:30";"성수";"성수";2443;"N"
2;0;"사당";"CCW";"20:31:00";"20:32:00";"성수";"성수";2445;"N"
2;0;"사당";"CCW";"20:35:00";"20:36:00";"성수";"성수";2447;"N"
2;0;"사당";"CCW";"20:42:00";"20:43:00";"성수";"성수";2451;"N"
2;0;"사당";"CCW";"20:47:30";"20:48:30";"성수";"성수";2453;"N"
2;0;"사당";"CCW";"20:52:30";"20:53:30";"성수";"성수";2455;"N"
2;0;"사당";"CCW";"20:57:30";"20:58:30";"성수";"성수";2457;"N"
2;0;"사당";"CCW";"21:02:30";"21:03:30";"성수";"성수";2459;"N"
2;0;"사당";"CCW";"21:08:30";"21:09:30";"성수";"성수";2461;"N"
2;0;"사당";"CCW";"21:20:30";"21:21:30";"성수";"성수";2465;"N"
2;0;"사당";"CCW";"21:27:00";"21:28:00";"성수";"성수";2467;"N"
2;0;"사당";"CCW";"21:33:00";"21:34:00";"성수";"성수";2469;"N"
2;0;"사당";"CCW";"21:41:30";"21:42:30";"성수";"성수";2473;"N"
2;0;"사당";"CCW";"21:53:30";"21:54:30";"성수";"성수";2477;"N"
2;0;"사당";"CCW";"22:02:00";"22:03:00";"성수";"성수";2481;"N"
2;0;"사당";"CCW";"22:11:30";"22:12:30";"성수";"성수";2485;"N"
2;0;"사당";"CCW";"22:17:30";"22:18:30";"성수";"성수";2487;"N"
2;0;"사당";"CCW";"22:28:30";"22:29:30";"성수";"성수";2491;"N"
2;0;"사당";"CCW";"22:40:00";"22:41:00";"성수";"성수";2495;"N"
2;0;"사당";"CCW";"22:49:30";"22:50:00";"성수";"성수";2499;"N"
2;0;"사당";"CCW";"22:57:30";"22:58:30";"성수";"성수";2501;"N"
2;0;"사당";"CCW";"23:12:30";"23:13:30";"성수";"성수";2505;"N"
2;0;"사당";"CCW";"23:31:30";"23:32:30";"성수";"성수";2509;"N"
2;0;"사당";"CCW";"23:41:30";"23:42:30";"성수";"삼성";2511;"N"
